# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed May 15 05:53:33 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 6.17609 0.1876792312 1.6503237838    0.187 -0.729  3.5388  3.546    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.24e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.013e-03 6.594 10.794 9.558 8.102 7.041 5.987 4.840 4.198 3.957
0.002 -0.88764 6.17609 0.1960162669 1.6801865391    0.195 -0.710  3.5409  3.554    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.39e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.013e-03 6.544 10.715 9.481 8.029 6.975 5.934 4.797 4.150 3.911
0.002 -0.88764 6.17609 0.2033132911 1.7049999170    0.202 -0.693  3.5427  3.560    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.52e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.014e-03 6.502 10.647 9.416 7.968 6.919 5.890 4.760 4.109 3.873
0.002 -0.88764 6.17609 0.2102611810 1.7275731051    0.209 -0.678  3.5442  3.566    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.61e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.012e-03 6.465 10.590 9.360 7.915 6.871 5.852 4.728 4.074 3.839
0.002 -0.88764 6.17609 0.2169444412 1.7483898117    0.216 -0.663  3.5457  3.570    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.74e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.008e-03 6.428 10.532 9.304 7.862 6.822 5.814 4.695 4.038 3.805
0.002 -0.88764 6.17609 0.2227316499 1.7657531273    0.222 -0.653  3.5468  3.576    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.78e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.005e-03 6.402 10.490 9.264 7.824 6.788 5.787 4.673 4.014 3.782
0.002 -0.88764 6.17609 0.2303526551 1.7877438497    0.229 -0.644  3.5480  3.586    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.71e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.003e-03 6.379 10.450 9.226 7.788 6.755 5.762 4.653 3.992 3.762
0.002 -0.88764 6.17609 0.2431317717 1.8225743612    0.242 -0.631  3.5501  3.605    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.53e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.002e-03 6.346 10.388 9.166 7.733 6.706 5.727 4.626 3.963 3.734
0.002 -0.88764 6.17609 0.2619286180 1.8696978431    0.261 -0.614  3.5532  3.633    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.24e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.007e-03 6.304 10.302 9.085 7.659 6.640 5.682 4.593 3.925 3.700
0.002 -0.88764 6.17609 0.2809778452 1.9131688968    0.280 -0.597  3.5562  3.659    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.99e-14      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.001e-03 6.263 10.217 9.006 7.586 6.576 5.637 4.561 3.889 3.666
