# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Fri Apr  5 13:29:59 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 6.00000 0.2617978156 1.8693852505    0.261 -0.391  3.5660  3.461    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.011e-03 5.747 9.571 8.370 6.987 6.011 5.132 4.081 3.354 3.154
0.002 -0.88764 6.00000 0.2766761780 1.9036940080    0.275 -0.370  3.5693  3.477    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.003e-03 5.696 9.471 8.277 6.903 5.937 5.079 4.040 3.307 3.111
0.002 -0.88764 6.00000 0.2868100703 1.9257180334    0.286 -0.360  3.5714  3.491    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.670 9.412 8.224 6.858 5.898 5.052 4.021 3.284 3.092
0.002 -0.88764 6.00000 0.3097250462 1.9719892458    0.309 -0.348  3.5758  3.531    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.002e-03 5.639 9.310 8.136 6.788 5.842 5.018 4.001 3.259 3.073
0.002 -0.88764 6.00000 0.3352327943 2.0185284425    0.334 -0.327  3.5815  3.567    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.587 9.166 8.011 6.686 5.758 4.963 3.964 3.214 3.037
0.002 -0.88764 6.00000 0.3709575236 2.0764878442    0.370 -0.290  3.5901  3.609    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.495 8.923 7.805 6.519 5.620 4.868 3.894 3.138 2.973
0.002 -0.88764 6.00000 0.3745901287 2.0819731901    0.374 -0.287  3.5909  3.613    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.487 8.900 7.786 6.504 5.608 4.860 3.889 3.133 2.969
0.002 -0.88764 6.00000 0.4204918146 2.1458310481    0.420 -0.225  3.6032  3.651    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.333 8.503 7.461 6.246 5.396 4.696 3.762 3.011 2.863
0.002 -0.88764 6.00000 0.4663934112 2.2012144095    0.466 -0.158  3.6156  3.679    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.166 8.083 7.128 5.981 5.177 4.519 3.620 2.888 2.753
0.002 -0.88764 6.00000 0.5122950673 2.2497796456    0.512 -0.087  3.6277  3.697    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.988 7.671 6.798 5.711 4.950 4.333 3.469 2.757 2.633
